Waiting for operation to complete...
Transcript: good morning everyone today I want to start with a look at perspective visual perspective first will look briefly at the kind of perspective and then we'll look very quickly at its history and are just in case you don't know what we're discussing perspective in art is the way that artist represent three-dimensional objects on their two-dimensional canvas there two basic source of perspective aerial perspective and linear perspective aerial perspective
Confidence: 0.9552902579307556
Word: good, start_time: 0.0, end_time: 0.2
Word: morning, start_time: 0.2, end_time: 0.5
Word: everyone, start_time: 0.5, end_time: 0.7000000000000001
Word: today, start_time: 0.7000000000000001, end_time: 1.5
Word: I, start_time: 1.5, end_time: 1.7000000000000002
Word: want, start_time: 1.7000000000000002, end_time: 1.9
Word: to, start_time: 1.9, end_time: 1.9
Word: start, start_time: 1.9, end_time: 2.3
Word: with, start_time: 2.3, end_time: 2.7
Word: a, start_time: 2.7, end_time: 2.8
Word: look, start_time: 2.8, end_time: 2.9
Word: at, start_time: 2.9, end_time: 3.0
Word: perspective, start_time: 3.0, end_time: 3.8
Word: visual, start_time: 3.8, end_time: 4.5
Word: perspective, start_time: 4.5, end_time: 5.2
Word: first, start_time: 5.2, end_time: 5.9
Word: will, start_time: 5.9, end_time: 6.7
Word: look, start_time: 6.7, end_time: 6.9
Word: briefly, start_time: 6.9, end_time: 7.1
Word: at, start_time: 7.1, end_time: 7.3
Word: the, start_time: 7.3, end_time: 7.4
Word: kind, start_time: 7.4, end_time: 7.7
Word: of, start_time: 7.7, end_time: 7.8
Word: perspective, start_time: 7.8, end_time: 8.1
Word: and, start_time: 8.1, end_time: 8.9
Word: then, start_time: 8.9, end_time: 9.3
Word: we'll, start_time: 9.3, end_time: 9.5
Word: look, start_time: 9.5, end_time: 9.7
Word: very, start_time: 9.7, end_time: 9.9
Word: quickly, start_time: 9.9, end_time: 10.3
Word: at, start_time: 10.3, end_time: 10.7
Word: its, start_time: 10.7, end_time: 10.9
Word: history, start_time: 10.9, end_time: 11.3
Word: and, start_time: 11.3, end_time: 11.4
Word: are, start_time: 11.4, end_time: 11.7
Word: just, start_time: 11.7, end_time: 12.8
Word: in, start_time: 12.8, end_time: 12.8
Word: case, start_time: 12.8, end_time: 13.1
Word: you, start_time: 13.1, end_time: 13.2
Word: don't, start_time: 13.2, end_time: 13.4
Word: know, start_time: 13.4, end_time: 13.5
Word: what, start_time: 13.5, end_time: 13.7
Word: we're, start_time: 13.7, end_time: 13.8
Word: discussing, start_time: 13.8, end_time: 14.3
Word: perspective, start_time: 14.3, end_time: 15.3
Word: in, start_time: 15.3, end_time: 15.5
Word: art, start_time: 15.5, end_time: 15.5
Word: is, start_time: 15.5, end_time: 16.1
Word: the, start_time: 16.1, end_time: 16.2
Word: way, start_time: 16.2, end_time: 16.4
Word: that, start_time: 16.4, end_time: 16.5
Word: artist, start_time: 16.5, end_time: 16.9
Word: represent, start_time: 16.9, end_time: 17.4
Word: three-dimensional, start_time: 17.4, end_time: 17.8
Word: objects, start_time: 17.8, end_time: 18.8
Word: on, start_time: 18.8, end_time: 19.2
Word: their, start_time: 19.2, end_time: 19.3
Word: two-dimensional, start_time: 19.3, end_time: 20.1
Word: canvas, start_time: 20.1, end_time: 20.6
Word: there, start_time: 20.6, end_time: 21.8
Word: two, start_time: 21.8, end_time: 22.1
Word: basic, start_time: 22.1, end_time: 22.5
Word: source, start_time: 22.5, end_time: 22.8
Word: of, start_time: 22.8, end_time: 22.9
Word: perspective, start_time: 22.9, end_time: 23.6
Word: aerial, start_time: 23.6, end_time: 24.5
Word: perspective, start_time: 24.5, end_time: 24.8
Word: and, start_time: 24.8, end_time: 26.2
Word: linear, start_time: 26.2, end_time: 26.7
Word: perspective, start_time: 26.7, end_time: 27.0
Word: aerial, start_time: 27.0, end_time: 28.2
Word: perspective, start_time: 28.2, end_time: 28.5
Transcript:  which is Ariel meaning error atmospheric not your view from an airplane aerial perspective is what the atmosphere affects we see especially a distant location I don't want to try to go into the laws of physics are involved here but it's aerial perspective that makes a mountain in the distance appear to be a different color that makes it seem hazy or less distinct than closer objects these are effects that realistic artist really attempt to reproduce and that impression is used to create their own effects just think of the many of Turner's Landscapes or cityscapes like Dido building in Carthage just to get an idea of how the air can affect what we see
Confidence: 0.9616497755050659
Word: which, start_time: 29.8, end_time: 30.3
Word: is, start_time: 30.3, end_time: 30.5
Word: Ariel, start_time: 30.5, end_time: 31.1
Word: meaning, start_time: 31.1, end_time: 31.4
Word: error, start_time: 31.4, end_time: 32.0
Word: atmospheric, start_time: 32.0, end_time: 33.1
Word: not, start_time: 33.1, end_time: 33.6
Word: your, start_time: 33.6, end_time: 33.8
Word: view, start_time: 33.8, end_time: 34.0
Word: from, start_time: 34.0, end_time: 34.1
Word: an, start_time: 34.1, end_time: 34.3
Word: airplane, start_time: 34.3, end_time: 34.3
Word: aerial, start_time: 34.3, end_time: 35.5
Word: perspective, start_time: 35.5, end_time: 35.7
Word: is, start_time: 35.7, end_time: 36.5
Word: what, start_time: 36.5, end_time: 36.7
Word: the, start_time: 36.7, end_time: 36.8
Word: atmosphere, start_time: 36.8, end_time: 37.5
Word: affects, start_time: 37.5, end_time: 38.5
Word: we, start_time: 38.5, end_time: 38.9
Word: see, start_time: 38.9, end_time: 39.2
Word: especially, start_time: 39.2, end_time: 39.8
Word: a, start_time: 39.8, end_time: 40.2
Word: distant, start_time: 40.2, end_time: 41.1
Word: location, start_time: 41.1, end_time: 41.5
Word: I, start_time: 41.5, end_time: 42.8
Word: don't, start_time: 42.8, end_time: 42.9
Word: want, start_time: 42.9, end_time: 43.1
Word: to, start_time: 43.1, end_time: 43.2
Word: try, start_time: 43.2, end_time: 43.3
Word: to, start_time: 43.3, end_time: 43.4
Word: go, start_time: 43.4, end_time: 43.5
Word: into, start_time: 43.5, end_time: 43.7
Word: the, start_time: 43.7, end_time: 43.9
Word: laws, start_time: 43.9, end_time: 44.1
Word: of, start_time: 44.1, end_time: 44.2
Word: physics, start_time: 44.2, end_time: 44.3
Word: are, start_time: 44.3, end_time: 44.8
Word: involved, start_time: 44.8, end_time: 45.3
Word: here, start_time: 45.3, end_time: 45.6
Word: but, start_time: 45.6, end_time: 46.2
Word: it's, start_time: 46.2, end_time: 46.4
Word: aerial, start_time: 46.4, end_time: 46.8
Word: perspective, start_time: 46.8, end_time: 47.1
Word: that, start_time: 47.1, end_time: 47.6
Word: makes, start_time: 47.6, end_time: 47.8
Word: a, start_time: 47.8, end_time: 47.9
Word: mountain, start_time: 47.9, end_time: 48.1
Word: in, start_time: 48.1, end_time: 48.3
Word: the, start_time: 48.3, end_time: 48.4
Word: distance, start_time: 48.4, end_time: 48.5
Word: appear, start_time: 48.5, end_time: 49.2
Word: to, start_time: 49.2, end_time: 49.3
Word: be, start_time: 49.3, end_time: 49.6
Word: a, start_time: 49.6, end_time: 49.7
Word: different, start_time: 49.7, end_time: 49.7
Word: color, start_time: 49.7, end_time: 50.1
Word: that, start_time: 50.1, end_time: 50.9
Word: makes, start_time: 50.9, end_time: 51.1
Word: it, start_time: 51.1, end_time: 51.2
Word: seem, start_time: 51.2, end_time: 51.3
Word: hazy, start_time: 51.3, end_time: 51.7
Word: or, start_time: 51.7, end_time: 52.1
Word: less, start_time: 52.1, end_time: 52.4
Word: distinct, start_time: 52.4, end_time: 52.7
Word: than, start_time: 52.7, end_time: 53.0
Word: closer, start_time: 53.0, end_time: 53.3
Word: objects, start_time: 53.3, end_time: 53.9
Word: these, start_time: 53.9, end_time: 54.7
Word: are, start_time: 54.7, end_time: 54.8
Word: effects, start_time: 54.8, end_time: 55.2
Word: that, start_time: 55.2, end_time: 55.4
Word: realistic, start_time: 55.4, end_time: 55.8
Word: artist, start_time: 55.8, end_time: 56.5
Word: really, start_time: 56.5, end_time: 57.0
Word: attempt, start_time: 57.0, end_time: 57.3
Word: to, start_time: 57.3, end_time: 57.5
Word: reproduce, start_time: 57.5, end_time: 58.1
Word: and, start_time: 58.1, end_time: 59.0
Word: that, start_time: 59.0, end_time: 59.2
