Waiting for operation to complete...
Transcript: road paving have you ever heard something like this on the news Air Force One has landed and the president and first lady are now walking across the tarmac ever wonder what tarmac is if so take heart you're not alone parmak it turns out is a type of surface pavement and is short for tar penetration Macadam got that it's a mouthful actually here in the United States we don't use tarmac much anymore because it's been supplanted that is upstaged by asphalt but we still use the term when referring to the pavement at airports the Macadam part of tarmac refers to a Scotsman named John McAdam McAdam in the early 19th century invented a method of strengthening paved roads to increase the way water drains down roadways he named his technique modestly Mac Adam Rose
Confidence: 0.9679008722305298
Word: road, start_time: 0.0, end_time: 1.5
Word: paving, start_time: 1.5, end_time: 1.9
Word: have, start_time: 1.9, end_time: 2.7
Word: you, start_time: 2.7, end_time: 2.8
Word: ever, start_time: 2.8, end_time: 3.0
Word: heard, start_time: 3.0, end_time: 3.2
Word: something, start_time: 3.2, end_time: 3.6
Word: like, start_time: 3.6, end_time: 3.8
Word: this, start_time: 3.8, end_time: 4.0
Word: on, start_time: 4.0, end_time: 4.1
Word: the, start_time: 4.1, end_time: 4.3
Word: news, start_time: 4.3, end_time: 4.4
Word: Air, start_time: 4.4, end_time: 5.4
Word: Force, start_time: 5.4, end_time: 5.6
Word: One, start_time: 5.6, end_time: 5.9
Word: has, start_time: 5.9, end_time: 6.0
Word: landed, start_time: 6.0, end_time: 6.2
Word: and, start_time: 6.2, end_time: 6.8
Word: the, start_time: 6.8, end_time: 6.9
Word: president, start_time: 6.9, end_time: 7.4
Word: and, start_time: 7.4, end_time: 7.5
Word: first, start_time: 7.5, end_time: 7.6
Word: lady, start_time: 7.6, end_time: 7.9
Word: are, start_time: 7.9, end_time: 8.2
Word: now, start_time: 8.2, end_time: 8.5
Word: walking, start_time: 8.5, end_time: 8.8
Word: across, start_time: 8.8, end_time: 9.2
Word: the, start_time: 9.2, end_time: 9.4
Word: tarmac, start_time: 9.4, end_time: 9.7
Word: ever, start_time: 9.7, end_time: 10.8
Word: wonder, start_time: 10.8, end_time: 11.1
Word: what, start_time: 11.1, end_time: 11.3
Word: tarmac, start_time: 11.3, end_time: 11.8
Word: is, start_time: 11.8, end_time: 11.9
Word: if, start_time: 11.9, end_time: 12.9
Word: so, start_time: 12.9, end_time: 13.1
Word: take, start_time: 13.1, end_time: 13.4
Word: heart, start_time: 13.4, end_time: 13.6
Word: you're, start_time: 13.6, end_time: 14.4
Word: not, start_time: 14.4, end_time: 14.6
Word: alone, start_time: 14.6, end_time: 14.8
Word: parmak, start_time: 14.8, end_time: 16.3
Word: it, start_time: 16.3, end_time: 16.4
Word: turns, start_time: 16.4, end_time: 16.8
Word: out, start_time: 16.8, end_time: 16.9
Word: is, start_time: 16.9, end_time: 17.2
Word: a, start_time: 17.2, end_time: 17.3
Word: type, start_time: 17.3, end_time: 17.6
Word: of, start_time: 17.6, end_time: 17.7
Word: surface, start_time: 17.7, end_time: 18.2
Word: pavement, start_time: 18.2, end_time: 18.8
Word: and, start_time: 18.8, end_time: 19.3
Word: is, start_time: 19.3, end_time: 19.4
Word: short, start_time: 19.4, end_time: 19.9
Word: for, start_time: 19.9, end_time: 20.2
Word: tar, start_time: 20.2, end_time: 20.8
Word: penetration, start_time: 20.8, end_time: 21.9
Word: Macadam, start_time: 21.9, end_time: 22.7
Word: got, start_time: 22.7, end_time: 23.3
Word: that, start_time: 23.3, end_time: 23.6
Word: it's, start_time: 23.6, end_time: 24.2
Word: a, start_time: 24.2, end_time: 24.2
Word: mouthful, start_time: 24.2, end_time: 24.7
Word: actually, start_time: 24.7, end_time: 25.9
Word: here, start_time: 25.9, end_time: 26.1
Word: in, start_time: 26.1, end_time: 26.2
Word: the, start_time: 26.2, end_time: 26.3
Word: United, start_time: 26.3, end_time: 26.4
Word: States, start_time: 26.4, end_time: 26.7
Word: we, start_time: 26.7, end_time: 27.2
Word: don't, start_time: 27.2, end_time: 27.6
Word: use, start_time: 27.6, end_time: 27.8
Word: tarmac, start_time: 27.8, end_time: 28.3
Word: much, start_time: 28.3, end_time: 28.7
Word: anymore, start_time: 28.7, end_time: 29.0
Word: because, start_time: 29.0, end_time: 29.6
Word: it's, start_time: 29.6, end_time: 30.0
Word: been, start_time: 30.0, end_time: 30.1
Word: supplanted, start_time: 30.1, end_time: 30.5
Word: that, start_time: 30.5, end_time: 31.1
Word: is, start_time: 31.1, end_time: 31.3
Word: upstaged, start_time: 31.3, end_time: 32.5
Word: by, start_time: 32.5, end_time: 32.6
Word: asphalt, start_time: 32.6, end_time: 33.3
Word: but, start_time: 33.3, end_time: 34.1
Word: we, start_time: 34.1, end_time: 34.2
Word: still, start_time: 34.2, end_time: 34.4
Word: use, start_time: 34.4, end_time: 34.6
Word: the, start_time: 34.6, end_time: 34.7
Word: term, start_time: 34.7, end_time: 35.1
Word: when, start_time: 35.1, end_time: 35.2
Word: referring, start_time: 35.2, end_time: 35.6
Word: to, start_time: 35.6, end_time: 35.8
Word: the, start_time: 35.8, end_time: 35.9
Word: pavement, start_time: 35.9, end_time: 36.2
Word: at, start_time: 36.2, end_time: 36.5
Word: airports, start_time: 36.5, end_time: 37.1
Word: the, start_time: 37.1, end_time: 38.0
Word: Macadam, start_time: 38.0, end_time: 38.6
Word: part, start_time: 38.6, end_time: 38.9
Word: of, start_time: 38.9, end_time: 39.1
Word: tarmac, start_time: 39.1, end_time: 39.5
Word: refers, start_time: 39.5, end_time: 40.1
Word: to, start_time: 40.1, end_time: 40.2
Word: a, start_time: 40.2, end_time: 40.3
Word: Scotsman, start_time: 40.3, end_time: 40.8
Word: named, start_time: 40.8, end_time: 41.5
Word: John, start_time: 41.5, end_time: 41.8
Word: McAdam, start_time: 41.8, end_time: 42.4
Word: McAdam, start_time: 42.4, end_time: 43.6
Word: in, start_time: 43.6, end_time: 44.0
Word: the, start_time: 44.0, end_time: 44.0
Word: early, start_time: 44.0, end_time: 44.4
Word: 19th, start_time: 44.4, end_time: 44.9
Word: century, start_time: 44.9, end_time: 44.9
Word: invented, start_time: 44.9, end_time: 45.7
Word: a, start_time: 45.7, end_time: 45.7
Word: method, start_time: 45.7, end_time: 45.9
Word: of, start_time: 45.9, end_time: 46.6
Word: strengthening, start_time: 46.6, end_time: 47.4
Word: paved, start_time: 47.4, end_time: 47.9
Word: roads, start_time: 47.9, end_time: 48.4
Word: to, start_time: 48.4, end_time: 49.0
Word: increase, start_time: 49.0, end_time: 49.5
Word: the, start_time: 49.5, end_time: 49.6
Word: way, start_time: 49.6, end_time: 49.7
Word: water, start_time: 49.7, end_time: 50.1
Word: drains, start_time: 50.1, end_time: 50.4
Word: down, start_time: 50.4, end_time: 51.0
Word: roadways, start_time: 51.0, end_time: 51.7
Word: he, start_time: 51.7, end_time: 52.3
Word: named, start_time: 52.3, end_time: 52.6
Word: his, start_time: 52.6, end_time: 52.8
Word: technique, start_time: 52.8, end_time: 53.3
Word: modestly, start_time: 53.3, end_time: 54.2
Word: Mac, start_time: 54.2, end_time: 54.7
Word: Adam, start_time: 54.7, end_time: 55.1
Word: Rose, start_time: 55.1, end_time: 55.4
Transcript: I got them roads at a slow Pro weight covered with three layers of angular gravel which was compacted by a heavy MO
Confidence: 0.888206958770752
Word: I, start_time: 56.1, end_time: 56.5
Word: got, start_time: 56.5, end_time: 56.8
Word: them, start_time: 56.8, end_time: 56.9
Word: roads, start_time: 56.9, end_time: 57.3
Word: at, start_time: 57.3, end_time: 57.5
Word: a, start_time: 57.5, end_time: 57.6
Word: slow, start_time: 57.6, end_time: 57.8
Word: Pro, start_time: 57.8, end_time: 58.1
Word: weight, start_time: 58.1, end_time: 58.5
Word: covered, start_time: 58.5, end_time: 58.9
Word: with, start_time: 58.9, end_time: 59.1
Word: three, start_time: 59.1, end_time: 59.4
Word: layers, start_time: 59.4, end_time: 59.9
Word: of, start_time: 59.9, end_time: 60.1
Word: angular, start_time: 60.1, end_time: 60.6
Word: gravel, start_time: 60.6, end_time: 61.1
Word: which, start_time: 61.1, end_time: 61.6
Word: was, start_time: 61.6, end_time: 61.8
Word: compacted, start_time: 61.8, end_time: 62.4
Word: by, start_time: 62.4, end_time: 62.6
Word: a, start_time: 62.6, end_time: 62.6
Word: heavy, start_time: 62.6, end_time: 63.0
Word: MO, start_time: 63.0, end_time: 63.3
Transcript:  these roads were undoubtedly stronger than previous ones but they posed a new difficulty dust when automobiles began using them the car is raised swirls of debris making it shall we say daunting to see Joe as early as the 1830s people started experimenting by covering McAdam rose with Torrance and then attempt to solve this problem
Confidence: 0.9507814645767212
Word: these, start_time: 64.5, end_time: 65.0
Word: roads, start_time: 65.0, end_time: 65.4
Word: were, start_time: 65.4, end_time: 65.7
Word: undoubtedly, start_time: 65.7, end_time: 66.0
Word: stronger, start_time: 66.0, end_time: 66.8
Word: than, start_time: 66.8, end_time: 67.0
Word: previous, start_time: 67.0, end_time: 67.4
Word: ones, start_time: 67.4, end_time: 67.7
Word: but, start_time: 67.7, end_time: 68.4
Word: they, start_time: 68.4, end_time: 68.5
Word: posed, start_time: 68.5, end_time: 68.8
Word: a, start_time: 68.8, end_time: 68.9
Word: new, start_time: 68.9, end_time: 69.1
Word: difficulty, start_time: 69.1, end_time: 69.7
Word: dust, start_time: 69.7, end_time: 70.7
Word: when, start_time: 70.7, end_time: 71.3
Word: automobiles, start_time: 71.3, end_time: 72.0
Word: began, start_time: 72.0, end_time: 72.5
Word: using, start_time: 72.5, end_time: 72.7
Word: them, start_time: 72.7, end_time: 73.1
Word: the, start_time: 73.1, end_time: 73.3
Word: car, start_time: 73.3, end_time: 73.5
Word: is, start_time: 73.5, end_time: 73.6
Word: raised, start_time: 73.6, end_time: 74.1
Word: swirls, start_time: 74.1, end_time: 75.1
Word: of, start_time: 75.1, end_time: 75.2
Word: debris, start_time: 75.2, end_time: 75.6
Word: making, start_time: 75.6, end_time: 76.1
Word: it, start_time: 76.1, end_time: 76.2
Word: shall, start_time: 76.2, end_time: 76.3
Word: we, start_time: 76.3, end_time: 76.4
Word: say, start_time: 76.4, end_time: 76.7
Word: daunting, start_time: 76.7, end_time: 77.7
Word: to, start_time: 77.7, end_time: 77.8
Word: see, start_time: 77.8, end_time: 78.0
Word: Joe, start_time: 78.0, end_time: 79.1
Word: as, start_time: 79.1, end_time: 79.4
Word: early, start_time: 79.4, end_time: 79.9
Word: as, start_time: 79.9, end_time: 80.1
Word: the, start_time: 80.1, end_time: 80.2
Word: 1830s, start_time: 80.2, end_time: 81.1
Word: people, start_time: 81.1, end_time: 81.6
Word: started, start_time: 81.6, end_time: 81.9
Word: experimenting, start_time: 81.9, end_time: 82.3
Word: by, start_time: 82.3, end_time: 83.2
Word: covering, start_time: 83.2, end_time: 83.7
Word: McAdam, start_time: 83.7, end_time: 84.2
Word: rose, start_time: 84.2, end_time: 84.5
Word: with, start_time: 84.5, end_time: 84.7
Word: Torrance, start_time: 84.7, end_time: 85.4
Word: and, start_time: 85.4, end_time: 85.8
Word: then, start_time: 85.8, end_time: 86.4
Word: attempt, start_time: 86.4, end_time: 86.7
Word: to, start_time: 86.7, end_time: 86.8
Word: solve, start_time: 86.8, end_time: 87.0
Word: this, start_time: 87.0, end_time: 87.3
Word: problem, start_time: 87.3, end_time: 87.4
Transcript:  in 1901 a man named e Purnell who invented a mixture of par and furnace waste called slag to come up with the infamous car penetration Macadam tarmac that improve the dust resistance on Macadam roads soon roads throughout England where we surfaced with hooley's invention in the company he founded parmak limited became very profitable during World War II the British use tarmac to build air strips for jet fighters which is why we still use the term tarmac today as a synonym for runways another pave airport areas
Confidence: 0.9554699659347534
Word: in, start_time: 88.5, end_time: 88.9
Word: 1901, start_time: 88.9, end_time: 89.8
Word: a, start_time: 89.8, end_time: 90.2
Word: man, start_time: 90.2, end_time: 90.4
Word: named, start_time: 90.4, end_time: 90.9
Word: e, start_time: 90.9, end_time: 91.1
