,gesture,words,annotation
0,beats,road paving have,
1,beats,have you ever heard something like,
2,beats,Air Force One has landed,
3,beats,wonder what tarmac is if,
4,beats,if so take heart,
5,beats,you're not alone parmak,
6,beats,parmak it turns,
7,beats,surface pavement,
8,beats,and is short for tar penetration Macadam got,
9,beats,got that it's,
10,beats,it's a mouthful actually,
11,beats,actually here in the United States we,
12,metaphoric,we don't use tarmac,
13,metaphoric,it's been supplanted that,
14,beats,that is upstaged,
15,metaphoric,upstaged,
16,beats,by asphalt,
17,beats,but we still use the term,
18,beats,the Macadam part,
19,beats,named John McAdam,
20,beats,in the early 19th,
21,beats,invented a method of,
22,metaphoric,of strengthening paved,
23,beats,to increase the way water,
24,metaphoric,water drains down roadways,
25,beats,he named his technique,
26,beats,modestly Mac,
27,beats,Mac Adam Rose,
28,beats,slow Pro weight covered,
29,metaphoric,covered with three layers of angular,
30,metaphoric,compacted by a heavy MO,
31,beats,stronger than,
32,beats,but they posed a new difficulty dust,
33,beats,dust when,
34,beats,when automobiles began using them,
35,metaphoric,raised swirls of debris making,
36,beats,early as the 1830s,
37,beats,experimenting by,
38,beats,by covering McAdam,
39,beats,McAdam rose with Torrance and then,
40,beats,attempt to solve this,
41,beats,in 1901 a,
42,beats,e Purnell,
43,metaphoric,mixture of,
44,beats,of par and,
45,beats,and furnace waste,
46,beats,up with the infamous car,
47,beats,car penetration Macadam tarmac,
48,beats,tarmac that,
49,beats,that improve the dust,
50,beats,soon roads,
51,metaphoric,roads throughout England where we surfaced,
52,beats,invention in the company he founded parmak,
53,beats,parmak limited became,
54,beats,which is why we,
55,beats,synonym for runways another,
56,metaphoric,another pave airport areas,
57,beats,okay now from Britain tarmac,
58,metaphoric,tarmac spread to United,
59,beats,preferred asphalt which,
60,beats,occurs naturally lakes and rocks,
61,beats,well as synthetic Lee as,
62,beats,as a byproduct of,
63,beats,of petroleum production asphalt,
64,metaphoric,more resilient than car,
65,beats,and hold up better in,
66,metaphoric,in a wider range of temperatures,
67,beats,dates back to about 3000,
68,beats,when the Sumerians used,
69,beats,mommy's waterproof,
70,beats,waterproof ships,
71,metaphoric,and cement brick,
72,beats,hot mix asphalt or,
73,beats,sand gravel crushed stone,
74,beats,and an asphalt binder like coal tar,
75,beats,in the late 1860's the,
76,beats,in New Jersey,
77,beats,till about 1900,
78,beats,asphalt which I got mainly from,
79,metaphoric,from two large lakes in,
80,beats,asphalt first appeared in 1870s,
81,beats,1870s and by 1907,
82,beats,production outpaced natural,
83,beats,pavement took its modern form in,
84,beats,when Frederick Warren Hern,
85,beats,for hot mix asphalt paving that he turned,
86,beats,turned little lisic that's,
87,beats,b i t u l i t h i c typically,
88,beats,typically Little,
89,beats,Little Mix contains ingredients that,
90,metaphoric,make it more fluid than,
91,beats,Ingalls Wilder a,
92,beats,a noted American author,
93,beats,upon her first encounter with,
94,beats,Ashi wash ladies walk across,
95,metaphoric,their heels dented the street,
96,beats,watch these then slowly,
97,metaphoric,slowly fill up and,
98,metaphoric,and Sue themselves out,
99,beats,She Wrote,
100,beats,Wrote it's like magic,
101,beats,magic well water,
102,beats,water and patents expired,
103,beats,improved as,
104,beats,as a popularity of,
105,beats,Vehicles skyrocketed local,
106,beats,technology Innovations,
107,beats,in both asphalt production,
108,beats,covers almost 95% of America's,
109,beats,America's payroll and,
110,beats,and has as well most,
111,beats,most of its sidewalks,
112,beats,sidewalks runways driveways,
113,beats,driveways,
114,beats,driveways parking lot and,
115,beats,and Tennis Courts,
